%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1745400061465709811,7385,1745400061465387156,gyro_link,0.0957738235593,-0.236297249794,-0.400278806686,-0.880208969116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015270688571,0.17175117135,-0.469013780355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6886882782,0.446109205484,7.77297878265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061475801280,7386,1745400061475366459,gyro_link,0.0965858250856,-0.236896306276,-0.398067861795,-0.880961596966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579998008907,0.230467766523,-0.532871484756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.19109916687,0.304283976555,8.0294380188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061485596514,7387,1745400061485321861,gyro_link,0.0974225997925,-0.237791091204,-0.395521998405,-0.88177472353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085560336709,0.270168364048,-0.571727454662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.76200389862,0.243829876184,7.92776203156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061497067519,7388,1745400061495455116,gyro_link,0.0982543975115,-0.238906249404,-0.392739415169,-0.882624387741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117413625121,0.300794243813,-0.613678395748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.01345443726,0.430882900953,8.19784450531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061508776352,7389,1745400061508462028,gyro_link,0.0990506336093,-0.240167453885,-0.389722883701,-0.883529722691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142282232642,0.311750143766,-0.649716615677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.02687883377,0.39667096734,8.45978832245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061518433046,7390,1745400061515551613,gyro_link,0.0998053699732,-0.241493910551,-0.386501550674,-0.884497642517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155551999807,0.312512129545,-0.697526931763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.23081350327,0.503512144089,8.52519702911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061529397657,7391,1745400061528751915,gyro_link,0.100563295186,-0.242815196514,-0.383049219847,-0.885551333427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158147960901,0.312754899263,-0.74331176281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.18462514877,0.537716090679,8.45131587982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061547518968,7392,1745400061546944913,gyro_link,0.101366698742,-0.244118154049,-0.379383206367,-0.886678993702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156418576837,0.319962233305,-0.782792568207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.93326187134,0.609726011753,8.30753517151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061548254539,7393,1745400061547526258,gyro_link,0.102241225541,-0.245438873768,-0.375541210175,-0.887848675251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158917829394,0.331983417273,-0.819064795971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.94450092316,0.429929345846,8.2368144989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061556458623,7394,1745400061556153997,gyro_link,0.10316542536,-0.246781095862,-0.371520072222,-0.889060616493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165172070265,0.338661462069,-0.857928454876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.98193740845,0.295051455498,8.2731590271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061565679507,7395,1745400061565423124,gyro_link,0.10412003845,-0.248149961233,-0.367302030325,-0.890320062637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171899273992,0.343778818846,-0.890917956829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.02098464966,0.20631852746,8.23266983032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061575551129,7396,1745400061575303728,gyro_link,0.105082899332,-0.249527618289,-0.362925857306,-0.891615569592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185442060232,0.348963469267,-0.913185238838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.91269731522,0.066000007093,8.16650104523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061585493931,7397,1745400061585197943,gyro_link,0.106011040509,-0.250926166773,-0.358433753252,-0.892929434776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208506569266,0.350460231304,-0.928940474987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.75856018066,0.0162913128734,8.05957221985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061595428010,7398,1745400061595261568,gyro_link,0.106871701777,-0.252371937037,-0.353836208582,-0.894252121449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211827263236,0.359437316656,-0.94121491909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.92088937759,-0.0130242463201,8.14898204803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
